state,offers_count
Florida,158697
Texas,121688
California,100182
New York,70649
North Carolina,56475
Illinois,52766
Georgia,51322
Pennsylvania,46783
Arizona,37540
Ohio,36400
Tennessee,36286
Virginia,35451
Michigan,34715
New Jersey,33308
South Carolina,30491
Missouri,29856
Colorado,26727
Alabama,26416
Washington,25042
Minnesota,24469
Wisconsin,24180
Louisiana,22963
Oregon,20299
Maryland,20298
Kentucky,18543
Oklahoma,18289
Indiana,18133
Arkansas,17556
Mississippi,14821
Connecticut,13880
Iowa,13820
Utah,13545
New Mexico,13117
Idaho,11687
Kansas,10643
Nevada,10273
Massachusetts,10186
West Virginia,8553
Montana,7174
Hawaii,6957
Nebraska,6092
Delaware,5133
Maine,5053
South Dakota,4355
North Dakota,4208
Wyoming,3942
New Hampshire,3563
Rhode Island,3418
District of Columbia,2918
Puerto Rico,2609
Vermont,2595
Alaska,2538
Virgin Islands,732
Guam,488
New Brunswick,1
