state,median_price
Alabama,280000.0
Alaska,425000.0
Arizona,420000.0
Arkansas,255000.0
California,700000.0
Colorado,565000.0
Connecticut,369900.0
Delaware,365000.0
District of Columbia,650000.0
Florida,370000.0
Georgia,334900.0
Guam,375000.0
Hawaii,788000.0
Idaho,524950.0
Illinois,269500.0
Indiana,270000.0
Iowa,220000.0
Kansas,219000.0
Kentucky,239000.0
Louisiana,251000.0
Maine,335000.0
Maryland,385000.0
Massachusetts,525000.0
Michigan,234900.0
Minnesota,330000.0
Mississippi,240000.0
Missouri,240000.0
Montana,499000.0
Nebraska,265000.0
Nevada,490000.0
New Hampshire,439000.0
New Jersey,379900.0
New Mexico,299000.0
New York,385000.0
North Carolina,338900.0
North Dakota,279900.0
Ohio,188000.0
Oklahoma,225000.0
Oregon,500000.0
Pennsylvania,274900.0
Puerto Rico,178000.0
Rhode Island,369900.0
South Carolina,325990.0
South Dakota,320000.0
Tennessee,349000.0
Texas,340000.0
Utah,590000.0
Vermont,369900.0
Virgin Islands,604500.0
Virginia,400000.0
Washington,550000.0
West Virginia,209000.0
Wisconsin,274900.0
Wyoming,385000.0
