state,avg_price_per_sqft
Alabama,162.0
Alaska,241.0
Arizona,265.0
Arkansas,154.0
California,531.0
Colorado,367.0
Connecticut,269.0
Delaware,206.0
District of Columbia,554.0
Florida,308.0
Georgia,182.0
Guam,292.0
Hawaii,820.0
Idaho,308.0
Illinois,182.0
Indiana,147.0
Iowa,159.0
Kansas,130.0
Kentucky,148.0
Louisiana,151.0
Maine,263.0
Maryland,223.0
Massachusetts,384.0
Michigan,168.0
Minnesota,177.0
Mississippi,131.0
Missouri,152.0
Montana,379.0
Nebraska,153.0
Nevada,323.0
New Hampshire,262.0
New Jersey,259.0
New Mexico,192.0
New York,473.0
North Carolina,207.0
North Dakota,142.0
Ohio,125.0
Oklahoma,140.0
Oregon,319.0
Pennsylvania,176.0
Puerto Rico,233.0
Rhode Island,269.0
South Carolina,216.0
South Dakota,202.0
Tennessee,219.0
Texas,197.0
Utah,336.0
Vermont,239.0
Virgin Islands,344.0
Virginia,235.0
Washington,360.0
West Virginia,129.0
Wisconsin,173.0
Wyoming,285.0
