city,avg_price
Malibu,8805103.0
Palm Beach,8658179.0
Aspen,8654388.0
Rancho Santa Fe,6617403.0
Corona Del Mar,6026433.0
Paradise Valley,5302005.0
Pacific Palisades,5195540.0
Beverly Hills,5164949.0
Laguna Beach,4737982.0
Big Sky,4310342.0
Del Mar,4223222.0
Bal Harbour,4165757.0
Santa Barbara,4108604.0
Manhattan Beach,4073756.0
Sag Harbor,4043967.0
Newport Beach,3779265.0
Hillsborough,3753411.0
New York,3745301.0
Los Altos,3690199.0
Greenwich,3673590.0
Woodside,3610362.0
Manalapan,3582273.0
Palo Alto,3508619.0
Coronado,3417850.0
La Jolla,3414156.0
Snowmass Village,3309022.0
Hermosa Beach,3292127.0
Southampton,3284156.0
East Hampton,3026220.0
Saratoga,2961179.0
Menlo Park,2936293.0
Key Biscayne,2920415.0
Surfside,2896898.0
La Canada Flintridge,2835447.0
Incline Village,2770450.0
Highland Beach,2760698.0
New York City,2749793.0
Key Largo,2708338.0
Long Beach Township,2707340.0
Santa Monica,2690171.0
Coral Gables,2634588.0
New Canaan,2621563.0
Pinecrest,2568182.0
Burlingame,2544044.0
Dana Point,2463021.0
Kihei,2432316.0
Park City,2427368.0
Mill Valley,2400928.0
Calabasas,2354295.0
Coto de Caza,2349633.0
Los Gatos,2346972.0
Mercer Island,2343109.0
Ojai,2320433.0
Lahaina,2310761.0
Indian Wells,2295062.0
San Carlos,2272747.0
Longboat Key,2265486.0
Cupertino,2261713.0
Inlet Beach,2237894.0
Kailua Kona,2176736.0
Encino,2140407.0
Sunny Isles Beach,2120216.0
Steamboat Springs,2101980.0
Westlake Village,2096242.0
Orinda,2091780.0
North Tustin,2088772.0
Breckenridge,2088620.0
Healdsburg,2082379.0
Wellesley,2066599.0
Great Neck,2034961.0
Westport,2030732.0
Encinitas,2001431.0
Miami Beach,1996957.0
Studio City,1995612.0
Scarsdale,1962020.0
Sonoma,1952745.0
West Hollywood,1911758.0
Hobe Sound,1897299.0
Redwood City,1882307.0
McLean,1862016.0
Darien,1861367.0
Truckee,1855329.0
Marco Island,1850062.0
Jupiter,1815197.0
Los Angeles,1814307.0
Rancho Palos Verdes,1805634.0
San Francisco,1777258.0
San Clemente,1776225.0
Sammamish,1741292.0
Brookline,1709409.0
Laguna Niguel,1699601.0
Southlake,1694644.0
Carmel,1694204.0
Marina del Rey,1666883.0
Santa Rosa Beach,1657928.0
Fort Lauderdale,1655454.0
Barnstable,1653884.0
Sanibel,1652651.0
Sherman Oaks,1651581.0
Aptos,1635810.0
