state,avg_house_size,avg_house_size_m2
Alabama,2152.0,200.0
Alaska,2270.0,211.0
Arizona,1938.0,180.0
Arkansas,2121.0,197.0
California,1927.0,179.0
Colorado,2463.0,229.0
Connecticut,2228.0,207.0
Delaware,2133.0,198.0
District of Columbia,1616.0,150.0
Florida,1808.0,168.0
Georgia,2287.0,212.0
Guam,1792.0,167.0
Hawaii,1573.0,146.0
Idaho,2227.0,207.0
Illinois,1930.0,179.0
Indiana,2241.0,208.0
Iowa,1649.0,153.0
Kansas,2107.0,196.0
Kentucky,2011.0,187.0
Louisiana,2092.0,194.0
Maine,2036.0,189.0
Maryland,2150.0,200.0
Massachusetts,2015.0,187.0
Michigan,1849.0,172.0
Minnesota,2294.0,213.0
Mississippi,2157.0,200.0
Missouri,1978.0,184.0
Montana,2283.0,212.0
Nebraska,2127.0,198.0
Nevada,2097.0,195.0
New Hampshire,2224.0,207.0
New Jersey,2111.0,196.0
New Mexico,2022.0,188.0
New York,1958.0,182.0
North Carolina,2036.0,189.0
North Dakota,2305.0,214.0
Ohio,1946.0,181.0
Oklahoma,1946.0,181.0
Oregon,1953.0,181.0
Pennsylvania,2019.0,188.0
Puerto Rico,2015.0,187.0
Rhode Island,2005.0,186.0
South Carolina,2047.0,190.0
South Dakota,2093.0,194.0
Tennessee,2146.0,199.0
Texas,2202.0,205.0
Utah,2758.0,256.0
Vermont,2340.0,217.0
Virgin Islands,3381.0,314.0
Virginia,2241.0,208.0
Washington,1988.0,185.0
West Virginia,2022.0,188.0
Wisconsin,1979.0,184.0
Wyoming,2492.0,231.0
